date,time,level,user,action,status,ip,is_failed_login,is_privileged_user,is_private_ip,is_external_ip,suspicious_event
2026-05-11,08:07:00,WARN,admin,login,failed,10.0.0.102,True,True,True,False,True
2026-05-11,08:11:28,WARN,jane,login,failed,198.51.100.143,True,False,False,True,True
2026-05-11,08:13:36,WARN,admin,login,failed,10.0.0.30,True,True,True,False,True
2026-05-11,08:13:52,WARN,secops,login,failed,172.16.0.145,True,True,True,False,True
2026-05-11,08:19:48,WARN,ops2,login,failed,198.51.100.30,True,False,False,True,True
2026-05-11,08:27:30,WARN,maria,login,failed,203.0.113.63,True,False,False,True,True
2026-05-11,08:28:03,WARN,root,login,failed,198.51.100.100,True,True,False,True,True
2026-05-11,08:36:37,WARN,alex,login,failed,203.0.113.63,True,False,False,True,True
2026-05-11,08:36:52,WARN,ops2,login,failed,203.0.113.63,True,False,False,True,True
2026-05-11,08:36:53,WARN,finance1,login,failed,203.0.113.63,True,False,False,True,True
2026-05-11,08:37:05,WARN,dlee,login,failed,203.0.113.63,True,False,False,True,True
2026-05-11,08:37:13,WARN,ops2,login,failed,203.0.113.63,True,False,False,True,True
2026-05-11,08:37:24,WARN,svc_admin,login,failed,10.0.0.11,True,True,True,False,True
2026-05-11,08:38:17,WARN,hr_portal,login,failed,203.0.113.63,True,False,False,True,True
2026-05-11,08:39:32,WARN,user123,login,failed,203.0.113.63,True,False,False,True,True
2026-05-11,08:40:11,WARN,maria,login,failed,203.0.113.63,True,False,False,True,True
2026-05-11,08:41:03,WARN,user123,login,failed,203.0.113.63,True,False,False,True,True
2026-05-11,08:41:23,WARN,root,login,failed,203.0.113.63,True,True,False,True,True
2026-05-11,08:42:05,WARN,user123,login,failed,203.0.113.63,True,False,False,True,True
2026-05-11,08:42:07,WARN,hr_portal,login,failed,203.0.113.63,True,False,False,True,True
2026-05-11,08:42:09,WARN,root,login,failed,198.51.100.18,True,True,False,True,True
2026-05-11,08:43:02,WARN,maria,login,failed,203.0.113.63,True,False,False,True,True
2026-05-11,08:43:38,WARN,ops2,login,failed,203.0.113.63,True,False,False,True,True
2026-05-11,08:44:37,WARN,guest,login,failed,203.0.113.63,True,False,False,True,True
2026-05-11,08:44:43,WARN,alex,login,failed,203.0.113.63,True,False,False,True,True
2026-05-11,08:46:11,WARN,analyst7,login,failed,203.0.113.63,True,False,False,True,True
2026-05-11,08:46:52,WARN,svc_admin,login,failed,172.16.0.199,True,True,True,False,True
2026-05-11,08:49:28,WARN,alex,login,failed,198.51.100.212,True,False,False,True,True
2026-05-11,08:53:24,WARN,maria,login,failed,198.51.100.23,True,False,False,True,True
2026-05-11,08:54:48,WARN,hr_portal,login,failed,198.51.100.102,True,False,False,True,True
2026-05-11,08:57:00,WARN,user123,login,failed,198.51.100.24,True,False,False,True,True
2026-05-11,08:59:45,WARN,hr_portal,login,failed,203.0.113.95,True,False,False,True,True
2026-05-11,09:04:00,WARN,asmith,login,failed,203.0.113.154,True,False,False,True,True
2026-05-11,09:04:21,WARN,ops2,login,failed,203.0.113.154,True,False,False,True,True
2026-05-11,09:04:42,WARN,admin,login,failed,203.0.113.154,True,True,False,True,True
2026-05-11,09:05:06,WARN,svc_admin,login,failed,203.0.113.154,True,True,False,True,True
2026-05-11,09:05:52,WARN,asmith,login,failed,203.0.113.154,True,False,False,True,True
2026-05-11,09:07:00,WARN,root,login,failed,203.0.113.154,True,True,False,True,True
2026-05-11,09:07:12,WARN,guest,login,failed,203.0.113.154,True,False,False,True,True
2026-05-11,09:07:50,WARN,finance1,login,failed,198.51.100.250,True,False,False,True,True
2026-05-11,09:09:30,WARN,svc_admin,login,failed,203.0.113.154,True,True,False,True,True
2026-05-11,09:09:51,WARN,jane,login,failed,203.0.113.154,True,False,False,True,True
2026-05-11,09:10:24,WARN,svc_admin,login,failed,203.0.113.119,True,True,False,True,True
2026-05-11,09:11:45,WARN,svc_admin,login,failed,198.51.100.37,True,True,False,True,True
2026-05-11,09:21:36,WARN,hr_portal,login,failed,198.51.100.113,True,False,False,True,True
2026-05-11,09:28:50,WARN,asmith,login,failed,203.0.113.57,True,False,False,True,True
2026-05-11,09:29:03,WARN,maria,login,failed,203.0.113.57,True,False,False,True,True
2026-05-11,09:29:15,WARN,dlee,login,failed,203.0.113.122,True,False,False,True,True
2026-05-11,09:29:35,WARN,alex,login,failed,203.0.113.57,True,False,False,True,True
2026-05-11,09:29:58,WARN,finance1,login,failed,203.0.113.57,True,False,False,True,True
2026-05-11,09:30:14,WARN,svc_admin,login,failed,203.0.113.57,True,True,False,True,True
2026-05-11,09:30:30,WARN,guest,login,failed,203.0.113.57,True,False,False,True,True
2026-05-11,09:30:56,WARN,finance1,login,failed,203.0.113.57,True,False,False,True,True
2026-05-11,09:31:13,WARN,asmith,login,failed,203.0.113.57,True,False,False,True,True
2026-05-11,09:31:14,WARN,maria,login,failed,203.0.113.57,True,False,False,True,True
2026-05-11,09:31:38,WARN,analyst7,login,failed,203.0.113.57,True,False,False,True,True
2026-05-11,09:32:00,WARN,analyst7,login,failed,203.0.113.57,True,False,False,True,True
2026-05-11,09:32:23,WARN,maria,login,failed,198.51.100.137,True,False,False,True,True
2026-05-11,09:32:40,WARN,secops,login,failed,203.0.113.57,True,True,False,True,True
2026-05-11,09:33:11,WARN,guest,login,failed,203.0.113.57,True,False,False,True,True
2026-05-11,09:33:14,WARN,alex,login,failed,203.0.113.57,True,False,False,True,True
2026-05-11,09:33:26,WARN,svc_admin,login,failed,203.0.113.57,True,True,False,True,True
2026-05-11,09:33:56,WARN,secops,login,failed,203.0.113.57,True,True,False,True,True
2026-05-11,09:34:02,WARN,hr_portal,login,failed,203.0.113.57,True,False,False,True,True
2026-05-11,09:34:05,WARN,maria,login,failed,203.0.113.57,True,False,False,True,True
2026-05-11,09:34:26,WARN,asmith,login,failed,203.0.113.57,True,False,False,True,True
2026-05-11,09:35:38,WARN,maria,login,failed,203.0.113.57,True,False,False,True,True
2026-05-11,09:36:13,WARN,dlee,login,failed,203.0.113.192,True,False,False,True,True
2026-05-11,09:36:25,WARN,hr_portal,login,failed,203.0.113.57,True,False,False,True,True
2026-05-11,09:36:29,WARN,secops,login,failed,203.0.113.57,True,True,False,True,True
